X,Y,Z
-0.82847285,-0.091987126,-0.00017560826
-0.88539743,-0.060326092,-0.00021314743
-0.8719789,-0.089653805,-0.00036456127
-0.90457636,-0.06019902,-0.00026948273
-0.8342689,-0.10108232,-0.00019364967
-0.920946,-0.061148025,-0.0002342574
-0.90004855,-0.0735312,-0.00020133569
-0.87529963,-0.0737454,-0.00019853342
-0.9288835,-0.078348964,-0.00039884707
-0.94494224,-0.07431646,-0.0003650741
-0.94169116,-0.06770024,-0.00020763
-0.9102543,-0.09292085,-0.00027163065
-0.9542284,-0.065889865,-0.0002665501
-0.909209,-0.11284966,-0.00016503272
-1.082222,-0.04078837,-0.00028529004
-0.91905487,-0.09423024,-0.00021200419
-0.96541256,-0.057770103,-0.00010600015
-0.9176412,-0.09157384,-0.00016580569
-1.0073985,-0.0720442,-9.605186e-05
-1.0365216,-0.061401054,-0.000109013956
-0.9485709,-0.058672626,-0.00032828827
-0.9613328,-0.049209557,-1.2355056e-05
-0.8982037,-0.07392806,-0.00014736188
-1.0153191,-0.020187499,-4.1305066e-05
-0.95721537,-0.043458715,-0.00021772202
-1.0447773,0.0035050723,-0.0002455101
-0.9091894,-0.06109974,-0.0002639738
-1.0492594,0.013747079,-0.00024348691
-0.91114265,-0.031543788,-0.00042751053
-1.0148895,-0.0069832625,-0.0001748568
-0.93426806,-0.031143494,-0.00034840906
-0.9730249,-0.018691408,-0.00045583345
-0.9827712,-0.024697062,-0.0002944142
-0.95826936,-0.03645753,4.49071e-05
-0.982518,-0.035010062,-0.0002992136
-0.92807245,-0.051918134,3.9261704e-05
-0.9542295,-0.041940745,-0.00014448116
-0.9190918,-0.055446777,-0.0002034582
-0.9212673,-0.024069138,-0.0002875992
-0.9100066,-0.09509123,1.3351935e-05
-1.0126159,-0.04746416,-0.00022408213
-0.90379417,-0.09912565,-1.8567416e-05
-0.9581666,-0.037583936,-0.00020611507
-0.85668814,-0.09406397,-0.00022774024
-0.93391865,-0.06831635,-0.00043178766
-1.1065652,-0.110215485,-0.0004048027
-1.8439286,-0.12671669,-0.00035901615
-2.5322483,-0.10822178,-0.0006245193
-2.2716212,-0.23826297,-0.0006204425
-2.3420582,-0.18791398,3.821151e-05
-2.2512703,-0.11916824,0.00048299273
-2.3011508,-0.2634893,-0.00019598825
-2.4180539,-0.14808458,-0.00094412547
-2.41958,-0.21388215,-0.00017515919
-2.4828405,-0.24828488,-0.00059514004
-2.2650194,-0.20856155,-0.0004726014
-2.411668,-0.22145593,-0.00053840206
-2.4996295,-0.23631987,-0.000840015
-2.1432314,-0.27758554,-0.0010229904
-2.318271,-0.19876698,-0.0015422752
-2.3355708,-0.16983293,-0.00045736425
-2.1328473,-0.25576323,-0.00018991341
-2.3262255,-0.14143367,-0.0002632485
-2.2924843,-0.17467675,-0.00034038007
-2.307965,-0.14514118,-0.00037532614
-2.1974196,-0.13571532,-0.00054676976
-2.1872807,-0.18783383,-0.00011747048
-2.3481255,-0.13148378,0.00011952659
-2.1414614,-0.124256246,1.567878e-05
-2.2720246,-0.14510307,0.0003787807
-2.3589199,-0.08531195,0.00020081936
-2.1321917,-0.12051739,0.00017014517
-2.2901828,-0.068350285,0.0038287698
-2.1029177,-0.044778664,0.0038088418
-1.9590305,-0.09385039,0.0032661539
-2.0694778,-0.007119614,0.003465828
-1.7761291,-0.024501694,0.0028886
-1.7813097,-0.027804745,0.0035868357
-1.8168895,0.035862472,0.003697452
-1.5973912,-0.040980164,0.0036023795
-1.640878,0.036982477,0.0039366507
-1.4867306,0.0139200175,0.0027709187
-1.3587716,-0.024441246,0.00302955
-1.3979175,0.0011836071,0.0005776415
-1.2659255,-0.014832117,-6.070642e-05
-1.2713318,-0.04016621,0.00019651181
-1.3228635,-0.0095305815,6.562269e-05
-1.1936952,-0.0713012,-5.6242694e-05
-1.3181182,-0.050336756,0.00036829597
-1.2473316,-0.07935247,0.0005169174
-1.21651,-0.081794724,3.3210523e-05
-1.2618623,-0.07838219,0.00029891788
-1.178971,-0.11753713,0.00024026044
-1.2428933,-0.11147127,2.4850415e-06
-1.2299005,-0.14034183,3.1291574e-06
-1.2393132,-0.12079321,-4.51073e-05
-1.1862578,-0.14163747,1.6525832e-05
-1.205782,-0.13252078,0.00019633734
-1.1578332,-0.140502,-6.119747e-05
-1.1429213,-0.13695258,2.0019826e-05
-1.1460552,-0.12905996,0.0003068673
-1.0946407,-0.14470658,0.00035981688
-1.0962319,-0.0882428,0.0004544942
-0.95898503,-0.1174456,0.00016082883
-0.91734856,-0.070161134,9.8470635e-05
-0.6431842,-0.12520806,-6.235255e-05
-0.5284659,-0.054433927,6.158795e-06
-0.0467035,0.06375477,-5.5347984e-05
0.27310863,0.030289138,-0.00021213085
0.5188654,-0.028831527,-0.00029887134
0.7211546,0.035057932,-0.00015093386
0.06837044,0.13577642,-0.0002941648
-0.20361744,0.16297372,-3.879109e-05
-0.035183053,0.054367587,-9.2932954e-05
-0.2953808,0.047902595,-5.2360476e-05
-0.37904337,0.17233916,-0.000116140785
-0.23500003,0.0973236,-0.00017104966
-0.339922,0.107547246,-0.00010220196
-0.4361965,0.06513092,-0.0001788693
-0.48461586,0.07690355,-0.0001334751
-0.5043908,0.05660582,-0.0001591509
-0.49764985,0.032545324,-2.8880655e-05
-0.5644478,0.015583144,-8.53754e-05
-0.5728171,0.01530223,-1.5811504e-05
-0.53433174,-0.015732156,-4.98485e-05
-0.54674643,-0.0035316648,-1.9081874e-06
-0.5491097,-0.046008635,-3.3305336e-05
-0.6116003,-0.04630919,9.259944e-05
-0.581783,-0.08322017,0.000118300726
-0.61027443,-0.082577266,5.1101182e-05
-0.5879751,-0.08921567,0.00026673492
-0.58901274,-0.114051305,-2.4703952e-06
-0.6012328,-0.09593987,-9.5184e-06
-0.594846,-0.14516997,-3.3238488e-05
-0.60899997,-0.101500586,-2.451895e-05
-0.6029825,-0.12870677,0.00010983707
-0.62676626,-0.1007387,0.00029579285
-0.58145434,-0.11911436,8.284992e-05
-0.5991474,-0.095447496,6.130124e-05
-0.5726644,-0.08600938,0.00020646187
-0.58178234,-0.09860264,1.9650113e-05
-0.59040296,-0.054845557,0.0003287258
-0.56831175,-0.071734585,-4.6269008e-05
-0.57264423,-0.038948573,0.0002621592
-0.542014,-0.041101985,7.297637e-05
-0.53448164,-0.017522747,4.168207e-05
-0.52993065,-0.022462614,8.509435e-05
-0.5414554,0.007176007,9.9504075e-05
-0.5173411,0.004171916,0.00022523827
-0.5186626,0.0152931195,0.00033457382
-0.51292986,0.02424802,7.580327e-05
-0.48389173,0.01030515,3.732848e-05
-0.47719792,0.050566632,0.0001266431
-0.46551794,0.027460355,0.0003779936
-0.47428426,0.045843095,0.00025848296
-0.4581605,0.024692994,-8.409453e-05
-0.45520937,0.031451993,-8.7744396e-05
-0.44525695,0.04307633,-2.2374676e-05
-0.4391127,0.030314442,-1.1026944e-05
-0.4559905,0.024903513,0.0003893755
-0.43263564,0.008063177,0.00012335874
-0.4068897,0.01077108,4.7685815e-05
-0.40559748,-0.0005826513,0.00018513828
-0.38810834,0.010828277,9.030763e-05
-0.33313194,-0.033575624,2.2359376e-05
-0.35451144,-0.022497764,4.3431275e-05
-0.3229241,-0.033830017,7.318557e-05
-0.32531202,-0.04921452,8.4609506e-05
-0.31970564,-0.040143903,1.960423e-05
-0.29590917,-0.07313634,-9.593752e-05
-0.32562757,-0.05942168,-3.4199418e-06
