X,Y,Z
-1.7576876,0.037060183,-0.00052214856
-1.6852326,0.023120202,-0.00062402745
-1.658873,0.002534045,-0.0007388143
-1.7542883,-0.023962272,-0.00060542993
-1.6799724,-0.044433866,-0.0003674317
-1.7697386,-0.049251586,-0.000241527
-1.7387447,-0.043276876,-0.0003167402
-1.6298802,-0.10095654,-0.00021138765
-1.7423383,-0.13043399,-0.00057772937
-1.9149642,-0.0760035,0.0008751434
-1.6599553,-0.15808076,-0.00035380418
-1.9051404,-0.10102266,0.0011556329
-1.6110041,-0.17042993,-0.0005208585
-1.7170428,-0.1746339,-0.0003626458
-1.822135,-0.1648252,-0.00014528533
-1.5519481,-0.17359361,-0.00039228887
-1.7140156,-0.19054946,-0.00010606155
-1.665691,-0.21674924,-0.00058552256
-1.5264531,-0.2319389,-0.0004596711
-1.6819098,-0.20976582,-0.00023379749
-1.5482394,-0.20559448,-0.00015142492
-1.5909158,-0.23267479,-0.00044132528
-1.6701907,-0.19553536,-0.0005459308
-1.611843,-0.23901932,-0.0005266904
-1.8334935,-0.18607844,-0.00011097023
-1.7658403,-0.19851072,-0.00054373895
-1.7946489,-0.1694421,-0.00045257877
-1.9112133,-0.17255983,-0.00041941332
-2.0057552,-0.1493347,0.00022816972
-1.991589,-0.1364713,-0.0003333
-2.0721445,-0.13024431,-0.00022856168
-2.1754646,-0.08945078,-0.00032954398
-2.1207545,-0.109950595,-0.00031337014
-2.2717652,-0.017271154,0.00030029053
-2.1603055,-0.062041614,0.00014244214
-2.3347478,-0.050845303,-0.00015456817
-2.2646794,-0.026250798,0.0003206689
-2.2918262,0.0018209419,0.0052056382
-2.1994045,0.0012595135,0.004112994
-2.0472538,-0.039323043,0.004236007
-1.9772925,0.006739766,0.0038419615
-1.8848532,-0.0050336476,0.0039233193
-1.8224274,0.0145816095,0.0039309734
-1.7127048,-0.052264858,0.0052111335
-1.6664684,-0.027804403,0.0051221666
-1.4888948,-0.039367437,0.0048993817
-1.3521168,-0.029376488,0.004292904
-1.2247521,-0.04454462,0.0039058668
-1.0907071,-0.04476256,0.0040310286
-0.9163864,-0.031241449,0.0026633858
-0.7603963,-0.03192988,0.0016137164
-0.7211805,-0.03015911,0.00040632806
