Distance,Confidence
2953,0.965683
2953,0.96282
2953,0.963702
2909,0.963127
2909,0.961803
2866,0.963955
2866,0.960498
2866,0.960645
2823,0.964395
2823,0.963319
2823,0.965905
2779,0.966122
2779,0.96566
2779,0.968679
2737,0.970028
2737,0.971113
2737,0.970693
2696,0.972609
2696,0.974436
2656,0.974364
2656,0.973883
2656,0.972214
2614,0.972733
2614,0.972758
2575,0.971249
2575,0.969109
2535,0.969892
2535,0.965953
2495,0.964822
2495,0.963479
2495,0.961422
2456,0.962375
2456,0.963524
2456,0.96367
2420,0.966792
2420,0.965955
2420,0.967987
2382,0.972876
2382,0.973436
2382,0.976748
2345,0.978415
2345,0.980065
2306,0.980043
2306,0.979498
2306,0.977891
2267,0.978025
2267,0.977661
2229,0.976038
2229,0.973639
2229,0.973866
2190,0.973166
2190,0.971813
2190,0.973154
2152,0.973248
2152,0.972936
2115,0.975094
2115,0.973562
2115,0.974737
2077,0.974606
2077,0.974016
2039,0.975865
2039,0.97376
2039,0.974304
2002,0.973725
2002,0.97267
1964,0.974009
1964,0.971408
1964,0.971408
1927,0.974015
1927,0.972858
1892,0.974065
1892,0.971781
1857,0.971822
1857,0.972027
1822,0.971234
1822,0.970432
1786,0.968749
1786,0.966781
1749,0.967913
1749,0.965263
1749,0.965938
1714,0.965683
1714,0.965443
1678,0.968232
1678,0.967337
1678,0.969661
1643,0.971071
1643,0.972756
1607,0.973423
1607,0.974162
1607,0.974245
1571,0.976672
1571,0.975666
1535,0.976779
1535,0.974377
1535,0.974294
1499,0.97653
1499,0.975429
1464,0.976452
1464,0.974127
1429,0.973908
1429,0.973698
1393,0.972736
1393,0.971572
1357,0.969706
1357,0.967487
1322,0.968296
1322,0.965623
1322,0.966177
1287,0.96597
1287,0.965761
1251,0.968526
1251,0.967718
1251,0.970101
1213,0.971533
1213,0.972997
1176,0.973474
1176,0.97393
1176,0.973701
1138,0.97585
1138,0.974397
1138,0.97537
1101,0.975333
1101,0.974877
1101,0.976903
1064,0.977767
1064,0.978407
1064,0.978074
1027,0.979453
1027,0.980718
990,0.980517
990,0.979881
990,0.978404
953,0.978617
953,0.978476
916,0.977104
916,0.975054
916,0.97551
879,0.974899
879,0.973761
879,0.97513
843,0.975285
843,0.975142
809,0.977274
809,0.976009
776,0.976966
776,0.97464
776,0.974652
744,0.977008
744,0.976151
712,0.977321
712,0.975334
712,0.975458
682,0.977708
682,0.976943
653,0.977966
653,0.979453
653,0.979896
625,0.98217
625,0.981875
