Timestamp,Sonar_Distance_1,Confidence_1,Sonar_Distance_2,Confidence_2,Sonar_Distance_3,Confidence_3,IMU_Linear_Acc_X,IMU_Linear_Acc_Y,IMU_Linear_Acc_Z,IMU_Angular_Vel_X,IMU_Angular_Vel_Y,IMU_Angular_Vel_Z
1727325451.2580805,688.0,100.0,1672.0,9.0,0.0,0.0,0.7835615277290345,-0.602167308330536,9.721624374389648,-0.007194281090050937,0.03302097693085671,0.013943016529083252
1727325451.3522365,688.0,100.0,1636.0,9.0,0.0,0.0,0.5944953560829164,-0.6331180930137635,9.565237045288086,-0.011707842350006104,0.04629046097397805,-0.06962121278047563
1727325451.4406095,687.0,100.0,1636.0,9.0,0.0,0.0,0.4936601519584656,-0.6557769775390625,9.510609626770021,0.010946391150355339,0.031194092705845836,-0.06857514381408691
1727325451.532833,687.0,100.0,1636.0,9.0,0.0,0.0,0.4374611079692841,-0.5315168499946595,9.627326965332031,0.027783218771219254,0.03382712975144387,-0.03311336413025857
1727325451.6231973,687.0,100.0,1792.0,19.0,0.0,0.0,0.44016614556312567,-0.41979485750198364,9.762443542480469,0.017580389976501465,0.011566280387341978,-0.016941128298640255
1727325451.7077625,685.0,100.0,1792.0,19.0,0.0,0.0,0.42993682622909546,-0.3618990182876587,9.863834381103516,0.010634956881403923,0.018556412309408188,-0.00787079241126776
1727325451.798699,685.0,100.0,1792.0,19.0,0.0,0.0,0.46306577324867254,-0.3109090626239777,9.877167701721193,-0.011081993579864502,-0.0044792890548706055,0.04616529121994973
1727325451.8883095,685.0,100.0,1438.0,9.0,0.0,0.0,0.5549076795578003,-0.4164069890975952,9.819607734680178,-0.026017427444458008,-0.0023886561393737793,0.09604544192552568
1727325451.9777157,682.0,100.0,1438.0,9.0,0.0,0.0,0.6310924887657167,-0.5620883107185365,9.67435073852539,-0.035031136125326164,0.004267693031579257,0.0930502861738205
1727325452.066268,682.0,100.0,1438.0,9.0,0.0,0.0,0.6058627963066102,-0.6198862195014955,9.577274322509766,-0.026816131547093395,0.0074163079261779785,0.06267429143190385
1727325452.1563954,682.0,100.0,1470.0,19.0,0.0,0.0,0.5488715171813965,-0.6535853147506714,9.611386299133303,-0.01605898141860962,0.014749172143638136,0.011649727821350098
1727325452.246895,680.0,100.0,1470.0,19.0,0.0,0.0,0.47570458054542547,-0.6683024764060975,9.651059150695803,-0.001774728414602578,0.012090803124010565,-0.028264522552490234
1727325452.336864,680.0,100.0,1470.0,19.0,0.0,0.0,0.34616655111312866,-0.657504677772522,9.750403404235842,0.003434718120843172,0.0015452507650479677,-0.03419816493988037
1727325452.4269838,680.0,100.0,1474.0,9.0,0.0,0.0,0.3212657570838928,-0.6116070151329042,9.850542068481445,0.014814733527600767,-0.014646350406110288,-0.030915439128875732
1727325452.5152867,677.0,100.0,1474.0,9.0,0.0,0.0,0.4615720510482788,-0.5197670459747314,9.838850975036623,0.011356175877153875,-0.03247708082199097,0.032559040933847434
1727325452.6001093,677.0,100.0,1474.0,9.0,0.0,0.0,0.6427720189094545,-0.5210973620414735,9.726829528808594,0.0064641241915524015,-0.015284121967852117,0.09653270244598389
1727325452.6952918,677.0,100.0,1487.0,9.0,0.0,0.0,0.7394688129425049,-0.5424757599830629,9.588429450988771,0.007236003875732422,0.003179908031597734,0.12712478637695312
1727325452.780112,674.0,100.0,1487.0,9.0,0.0,0.0,0.6044259071350098,-0.6586934924125672,9.57033920288086,-0.0005975367384962739,0.014558437280356886,0.07501542568206787
